msoa11cd,house_price_median_yrto_dec_95,house_price_median_yrto_sep_21,house_price_mean_median_1995to2000,house_price_mean_median_2017to2021
E02004327,22500,47226,22403.684210526317,36510.63157894737
E02004329,51000,130000,51014.47368421053,140973.68421052632
E02004317,47000,116500,46528.94736842105,107673.68421052632
E02004330,26000,68974.5,26063.157894736843,63761.81578947369
E02004331,27250,76500,27039.473684210527,86210.26315789473
E02004318,46000,135500,58611.31578947369,133101.31578947368
E02004348,43500,177000,45003.94736842105,158381.57894736843
E02004332,28000,115500,37814.47368421053,119386.57894736843
E02004319,52000,129000,53638.68421052631,121566.18421052632
E02004349,28000,91000,29505.263157894737,81315.78947368421
E02004350,29500,118000,33625,105488.65789473684
E02004333,40500,115000,46407.76315789474,106972.23684210527
E02004334,30000,81499.5,31403.947368421053,76130.15789473684
E02004335,25000,110000,31645.78947368421,117022.1052631579
E02004336,28000,82000,30555.263157894737,68990.92105263157
E02004351,42500,98975,44323.68421052631,91598.68421052632
E02004337,33000,130000,45851.28947368421,123640.65789473684
E02004338,26000,69999,23358.5,93714.65789473684
E02004339,55655,211250,57126.23684210526,199436.2894736842
E02004352,39750,100000,34225,94379.65789473684
E02004353,44000,143000,51069.73684210526,127257.8947368421
E02004354,34995,115000,38949.73684210526,102222.8947368421
E02004355,37000,83500,39319.73684210526,84276.31578947368
E02004340,25950,59000,27755.263157894737,65532.47368421053
E02004341,54000,163000,59869.21052631579,154357.05263157896
E02004342,28500,64250,26795.947368421053,59618.42105263158
E02004343,36000,100000,37406.57894736842,102451.97368421052
E02004344,37745,129950,41171.05263157895,115362.8947368421
E02004345,45000,157000,49060.52631578947,130042.8947368421
E02004346,49975,235000,61668.15789473684,203086.84210526315
E02004347,49475,210000,52361.57894736842,187775.26315789475
E02002559,58000,205000,65827.63157894737,192222.23684210525
E02002560,40000,125000,43535.52631578947,116789.47368421052
E02002561,49500,150000,58311.89473684211,138986.84210526315
E02002562,28500,85000,29972.236842105263,76218.42105263157
E02002563,47000,131500,47660.39473684211,123210.52631578948
E02002564,39500,132000,49911.05263157895,125434.21052631579
E02002565,34000,105000,33482.76315789474,96575
E02002566,31000,75000,28442.105263157893,70046.05263157895
E02002567,37000,128000,38106.57894736842,132863.2894736842
E02002568,77000,250000,80060.52631578948,237763.02631578947
E02002569,78500,238975,80194.73684210527,221943.42105263157
E02002570,30000,98500,29514.473684210527,78473.68421052632
E02002571,36000,106500,37094.60526315789,103855.26315789473
E02002572,38000,111000,38039.34210526316,103056.57894736843
E02002573,67000,219975,72524.44736842105,212637.5
E02001682,59975,183500,59072.36842105263,166864.47368421053
E02001683,39875,154000,40715.78947368421,147235.52631578947
E02001684,27000,125000,28724.973684210527,100447.36842105263
E02001685,33500,130000,33988.15789473684,121497.36842105263
E02001686,39000,135000,45923.68421052631,130283.68421052632
E02001688,29475,134000,29665.78947368421,132796.05263157896
E02001689,24000,120000,23872.36842105263,105213.94736842105
E02001690,41500,172000,47684.21052631579,139944.73684210525
E02001691,24000,120000,24997.105263157893,121751.31578947368
E02001692,34125,115000,38032.89473684211,97339.47368421052
E02001693,27250,115000,32582.763157894737,104959.21052631579
E02001694,38475,137000,41753.97368421053,126173.68421052632
E02001695,47000,146500,50414.21052631579,140313.15789473685
E02001696,34250,116277.5,35948.68421052631,106604.07894736843
E02001697,48000,201000,54378.94736842105,181548.68421052632
E02001698,60000,252500,69500,218921.05263157896
E02001699,41250,125000,41839.47368421053,117596.05263157895
E02001700,49950,150000,49688.71052631579,145877.63157894736
E02001701,54750,200000,59193.42105263158,187900
E02001702,41000,116000,43592.10526315789,119898.68421052632
E02001703,54500,190500,61798.68421052631,188936.57894736843
E02001704,39725,118725,43890.78947368421,113050
E02001705,28000,110000,32500.736842105263,101285.21052631579
E02001706,38500,170000,40756.57894736842,174180.26315789475
E02001707,33950,138500,42689.47368421053,134734.2105263158
E02006841,28000,145000,29953.157894736843,138153.81578947368
E02006842,31000,160000,33328.94736842105,125078.94736842105
E02002483,50375,151000,55735.52631578947,145509.2105263158
E02002484,31500,90000,29038.157894736843,97094.73684210527
E02002485,25000,84500,35276.57894736842,80152.5
E02002487,26000,55000,22794.526315789473,49623.68421052631
E02002488,51000,200000,57128.68421052631,178101.31578947368
E02002489,30000,91000,31188.157894736843,75151
E02002490,27000,66500,26991.71052631579,63225.15789473684
E02002491,38250,90000,35140.78947368421,91815.78947368421
E02002492,40500,110000,37799.34210526316,108519.6052631579
E02002493,59000,141062.5,57736.84210526316,144769.07894736843
E02002494,29475,112500,26821.052631578947,92006.57894736843
E02006909,59950,250000,64336.13157894737,220459.73684210525
E02002496,25000,62000,22326.184210526317,60248.68421052631
E02002497,28000,59280,29697.36842105263,43048.07894736842
E02002498,25500,45000,23065.78947368421,47323.68421052631
E02002499,26000,78000,26855.263157894737,85741.73684210527
E02002500,36000,101000,37218.47368421053,99681.57894736843
E02002501,36500,123180,39114.42105263158,135991.57894736843
E02002502,30550,83000,32055.526315789473,75787.84210526316
E02002503,33875,92000,33516.63157894737,97024.34210526316
E02002504,47000,122000,48177.60526315789,118059.21052631579
E02002505,28125,78500,26700.263157894737,69868.42105263157
E02002506,36000,90750,33976.05263157895,85847.23684210527
E02002507,50250,150500,53973.55263157895,139862.7894736842
E02002508,51500,157500,54594.73684210526,150828.94736842104
E02002509,40500,130000,46371.05263157895,125433.94736842105
E02002510,49500,176500,52249.86842105263,185427.63157894736
E02002512,65750,233750,72715.26315789473,209176.76315789475
E02002513,53000,170495,51111.71052631579,171368.15789473685
E02002514,59995,145000,56878.02631578947,143324.42105263157
E02006811,59000,244000,61981.57894736842,196759.07894736843
E02001708,47000,239950,50323.68421052631,213795.13157894736
